Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
Saturday 16 February 2019,Liga,FC Barcelona,Real Valladolid,Real Valladolid,43,1,0,Penalty,Left foot,Won
Sunday 13 January 2019,Liga,FC Barcelona,Eibar,Eibar,53,2,0,Field goal,Left foot,Won
Saturday 22 December 2018,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,45,2,0,Field goal,Left foot,Won
Saturday 20 October 2018,Liga,FC Barcelona,Sevilla,Sevilla,12,2,0,Field goal,Left foot,Won
Sunday 23 September 2018,Liga,FC Barcelona,Girona,Girona,19,1,0,Field goal,Left foot,Draw
Saturday 18 August 2018,Liga,FC Barcelona,Alavés,Alavés,90+2,3,0,Field goal,Left foot,Won
Saturday 18 August 2018,Liga,FC Barcelona,Alavés,Alavés,64,1,0,Free kick,Left foot,Won
Wednesday 9 May 2018,Liga,FC Barcelona,Villarreal,Villarreal,45,3,0,Field goal,Left foot,Won
Saturday 7 April 2018,Liga,FC Barcelona,Leganés,Leganés,32,2,0,Field goal,Left foot,Won
Saturday 7 April 2018,Liga,FC Barcelona,Leganés,Leganés,27,1,0,Free kick,Left foot,Won
Sunday 18 March 2018,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,30,2,0,Field goal,Left foot,Won
Sunday 4 March 2018,Liga,FC Barcelona,Atlético Madrid,Atlético Madrid,26,1,0,Free kick,Left foot,Won
Sunday 7 January 2018,Liga,FC Barcelona,Levante,Levante,12,1,0,Field goal,Left foot,Won
Sunday 1 October 2017,Liga,FC Barcelona,Las Palmas,Las Palmas,77,3,0,Field goal,Left foot,Won
Sunday 1 October 2017,Liga,FC Barcelona,Las Palmas,Las Palmas,71,2,0,Field goal,Left foot,Won
Tuesday 19 September 2017,Liga,FC Barcelona,Eibar,Eibar,20,1,0,Penalty,Left foot,Won
Saturday 9 September 2017,Liga,FC Barcelona,Espanyol,Espanyol,67,3,0,Field goal,Left foot,Won
Saturday 9 September 2017,Liga,FC Barcelona,Espanyol,Espanyol,26,1,0,Field goal,Left foot,Won
Wednesday 26 April 2017,Liga,FC Barcelona,Osasuna,Osasuna,12,1,0,Field goal,Left foot,Won
Saturday 15 April 2017,Liga,FC Barcelona,Real Sociedad,Real Sociedad,37,2,0,Rebound,Left foot,Won
Saturday 15 April 2017,Liga,FC Barcelona,Real Sociedad,Real Sociedad,17,1,0,Field goal,Left foot,Won
Wednesday 5 April 2017,Liga,FC Barcelona,Sevilla,Sevilla,33,3,0,Field goal,Left foot,Won
Saturday 4 March 2017,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,64,5,0,Solo run,Left foot,Won
Saturday 4 March 2017,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,24,1,0,Solo run,Left foot,Won
Saturday 4 February 2017,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,40,2,0,Free kick,Left foot,Won
Saturday 15 October 2016,Liga,FC Barcelona,Deportivo La Coruña,Deportivo La Coruña,58,4,0,Field goal,Left foot,Won
Sunday 8 May 2016,Liga,FC Barcelona,Espanyol,Espanyol,8,1,0,Free kick,Left foot,Won
Saturday 12 March 2016,Liga,FC Barcelona,Getafe,Getafe,40,4,0,Field goal,Left foot,Won
Sunday 14 February 2016,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,28,1,0,Free kick,Left foot,Won
Sunday 17 January 2016,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,7,1,0,Penalty,Left foot,Won
Saturday 9 January 2016,Liga,FC Barcelona,Granada,Granada,58,3,0,Rebound,Left foot,Won
Saturday 9 January 2016,Liga,FC Barcelona,Granada,Granada,14,2,0,Field goal,Left foot,Won
Saturday 9 January 2016,Liga,FC Barcelona,Granada,Granada,8,1,0,Field goal,Left foot,Won
Saturday 12 December 2015,Liga,FC Barcelona,Deportivo La Coruña,Deportivo La Coruña,39,1,0,Free kick,Left foot,Draw
Saturday 28 November 2015,Liga,FC Barcelona,Real Sociedad,Real Sociedad,90+1,4,0,Field goal,Left foot,Won
Sunday 20 September 2015,Liga,FC Barcelona,Levante,Levante,61,3,0,Penalty,Left foot,Won
Tuesday 28 April 2015,Liga,FC Barcelona,Getafe,Getafe,47,6,0,,Left foot,Won
Tuesday 28 April 2015,Liga,FC Barcelona,Getafe,Getafe,9,1,0,Penalty,Left foot,Won
Saturday 18 April 2015,Liga,FC Barcelona,Valencia,Valencia,90+4,2,0,Rebound,Left foot,Won
Wednesday 8 April 2015,Liga,FC Barcelona,UD Almería,UD Almería,33,1,0,Solo run,Left foot,Won
Sunday 8 March 2015,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,68,5,0,,Left foot,Won
Sunday 8 March 2015,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,63,4,0,Rebound,Left foot,Won
Sunday 8 March 2015,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,56,3,0,Penalty,Left foot,Won
Sunday 15 February 2015,Liga,FC Barcelona,Levante,Levante,65,4,0,Penalty,Left foot,Won
Saturday 22 November 2014,Liga,FC Barcelona,Sevilla,Sevilla,21,1,0,Free kick,Left foot,Won
Saturday 18 October 2014,Liga,FC Barcelona,Eibar,Eibar,74,3,0,,Left foot,Won
Sunday 24 August 2014,Liga,FC Barcelona,Elche,Elche,63,3,0,,Left foot,Won
Sunday 24 August 2014,Liga,FC Barcelona,Elche,Elche,42,1,0,,Left foot,Won
Saturday 3 May 2014,Liga,FC Barcelona,Getafe,Getafe,23,1,0,,Left foot,Draw
Saturday 5 April 2014,Liga,FC Barcelona,Real Betis,Real Betis,15,1,0,Penalty,Left foot,Won
Sunday 16 March 2014,Liga,FC Barcelona,Osasuna,Osasuna,63,4,0,,Left foot,Won
Sunday 16 March 2014,Liga,FC Barcelona,Osasuna,Osasuna,18,1,0,,Left foot,Won
Sunday 2 March 2014,Liga,FC Barcelona,UD Almería,UD Almería,24,2,0,Free kick,Left foot,Won
Saturday 15 February 2014,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,68,5,0,,Left foot,Won
Saturday 15 February 2014,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,36,2,0,,Left foot,Won
Saturday 14 September 2013,Liga,FC Barcelona,Sevilla,Sevilla,75,2,0,,Left foot,Won
Sunday 18 August 2013,Liga,FC Barcelona,Levante,Levante,42,5,0,Penalty,Left foot,Won
Sunday 18 August 2013,Liga,FC Barcelona,Levante,Levante,12,2,0,,Left foot,Won
Sunday 17 March 2013,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,57,3,0,,Left foot,Won
Sunday 17 March 2013,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,40,2,0,,Left foot,Won
Saturday 9 March 2013,Liga,FC Barcelona,Deportivo La Coruña,Deportivo La Coruña,88,2,0,,Left foot,Won
Sunday 10 February 2013,Liga,FC Barcelona,Getafe,Getafe,13,2,0,,Left foot,Won
Sunday 6 January 2013,Liga,FC Barcelona,Espanyol,Espanyol,29,4,0,Penalty,Left foot,Won
Saturday 1 December 2012,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,25,2,0,,Left foot,Won
Saturday 17 November 2012,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,16,1,0,,Left foot,Won
Saturday 5 May 2012,Liga,FC Barcelona,Espanyol,Espanyol,79,4,0,Penalty,Left foot,Won
Saturday 5 May 2012,Liga,FC Barcelona,Espanyol,Espanyol,74,3,0,,Left foot,Won
Saturday 5 May 2012,Liga,FC Barcelona,Espanyol,Espanyol,64,2,0,Penalty,Left foot,Won
Saturday 5 May 2012,Liga,FC Barcelona,Espanyol,Espanyol,12,1,0,Free kick,Left foot,Won
Tuesday 10 April 2012,Liga,FC Barcelona,Getafe,Getafe,44,2,0,,Left foot,Won
Saturday 31 March 2012,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,58,2,0,Penalty,Left foot,Won
Tuesday 20 March 2012,Liga,FC Barcelona,Granada,Granada,17,2,0,Field goal,Left foot,Won
Saturday 4 February 2012,Liga,FC Barcelona,Real Sociedad,Real Sociedad,72,2,0,,Left foot,Won
Sunday 15 January 2012,Liga,FC Barcelona,Real Betis,Real Betis,12,2,0,,Left foot,Won
Saturday 3 December 2011,Liga,FC Barcelona,Levante,Levante,55,4,0,,Left foot,Won
Tuesday 29 November 2011,Liga,FC Barcelona,Rayo Vallecano,Rayo Vallecano,50,4,0,,Left foot,Won
Saturday 29 October 2011,Liga,FC Barcelona,Real Mallorca,Real Mallorca,30,3,0,,Left foot,Won
Saturday 29 October 2011,Liga,FC Barcelona,Real Mallorca,Real Mallorca,13,1,0,Penalty,Left foot,Won
Saturday 24 September 2011,Liga,FC Barcelona,Atlético Madrid,Atlético Madrid,90+1,5,0,,Left foot,Won
Saturday 24 September 2011,Liga,FC Barcelona,Atlético Madrid,Atlético Madrid,78,4,0,,Left foot,Won
Saturday 24 September 2011,Liga,FC Barcelona,Atlético Madrid,Atlético Madrid,26,3,0,,Left foot,Won
Saturday 17 September 2011,Liga,FC Barcelona,Osasuna,Osasuna,79,8,0,,Left foot,Won
Saturday 17 September 2011,Liga,FC Barcelona,Osasuna,Osasuna,41,5,0,,Left foot,Won
Saturday 17 September 2011,Liga,FC Barcelona,Osasuna,Osasuna,5,1,0,,Left foot,Won
Monday 29 August 2011,Liga,FC Barcelona,Villarreal,Villarreal,75,5,0,,Left foot,Won
Saturday 5 February 2011,Liga,FC Barcelona,Atlético Madrid,Atlético Madrid,79,3,0,Rebound,Left foot,Won
Saturday 5 February 2011,Liga,FC Barcelona,Atlético Madrid,Atlético Madrid,28,2,0,,Left foot,Won
Saturday 5 February 2011,Liga,FC Barcelona,Atlético Madrid,Atlético Madrid,17,1,0,,Left foot,Won
Saturday 22 January 2011,Liga,FC Barcelona,Racing Santander,Racing Santander,33,2,0,Penalty,Left foot,Won
Sunday 12 December 2010,Liga,FC Barcelona,Real Sociedad,Real Sociedad,87,4,0,Solo run,Left foot,Won
Sunday 12 December 2010,Liga,FC Barcelona,Real Sociedad,Real Sociedad,47,3,0,,Left foot,Won
Saturday 30 October 2010,Liga,FC Barcelona,Sevilla,Sevilla,64,4,0,Solo run,Left foot,Won
Saturday 30 October 2010,Liga,FC Barcelona,Sevilla,Sevilla,4,1,0,Rebound,Left foot,Won
Sunday 3 October 2010,Liga,FC Barcelona,Real Mallorca,Real Mallorca,21,1,0,,Left foot,Draw
Sunday 16 May 2010,Liga,FC Barcelona,Real Valladolid,Real Valladolid,76,4,0,,Left foot,Won
Saturday 3 April 2010,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,67,4,0,,Left foot,Won
Sunday 14 March 2010,Liga,FC Barcelona,Valencia,Valencia,81,2,0,,Left foot,Won
Sunday 14 March 2010,Liga,FC Barcelona,Valencia,Valencia,56,1,0,,Left foot,Won
Saturday 6 February 2010,Liga,FC Barcelona,Getafe,Getafe,7,1,0,,Left foot,Won
Saturday 16 January 2010,Liga,FC Barcelona,Sevilla,Sevilla,90+1,4,0,,Left foot,Won
Saturday 16 January 2010,Liga,FC Barcelona,Sevilla,Sevilla,85,3,0,,Left foot,Won
Saturday 19 September 2009,Liga,FC Barcelona,Atlético Madrid,Atlético Madrid,16,2,0,,Left foot,Won
Saturday 7 March 2009,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,32,2,0,Penalty,Left foot,Won
Saturday 24 January 2009,Liga,FC Barcelona,Numancia,Numancia,49,1,0,,Left foot,Won
Saturday 17 January 2009,Liga,FC Barcelona,Deportivo La Coruña,Deportivo La Coruña,21,1,0,,Left foot,Won
Saturday 13 December 2008,Liga,FC Barcelona,Real Madrid,Real Madrid,90+1,2,0,,Left foot,Won
Saturday 4 October 2008,Liga,FC Barcelona,Atlético Madrid,Atlético Madrid,9,3,0,Free kick,Left foot,Won
Saturday 13 September 2008,Liga,FC Barcelona,Racing Santander,Racing Santander,71,1,0,Penalty,Left foot,Draw
Sunday 4 May 2008,Liga,FC Barcelona,Valencia,Valencia,6,1,0,Penalty,Left foot,Won
Saturday 24 November 2007,Liga,FC Barcelona,Recreativo Huelva,Recreativo Huelva,82,3,0,Penalty,Left foot,Won
Sunday 28 October 2007,Liga,FC Barcelona,UD Almería,UD Almería,81,2,0,Penalty,Left foot,Won
